,p = 0,p = 0.1,p = 0.2,p = 0.3,p = 0.4,p = 0.5,p = 0.6,p = 0.7,p = 0.8,p = 0.9,p = 1.0
q = 0,0,0,0,0,0,0,0,0,0,0,0
q = 0.1,0,0,0,0,0,0,0,0,0,0,0
q = 0.2,0,0,0,0,0,0,0,0,0,0,0
q = 0.3,0,0,0,0,0,0,0,0,0,0,0
q = 0.4,8,0,0,0,0,0,0,0,0,0,0
q = 0.5,561,20,0,0,0,0,0,0,0,0,0
q = 0.6,1000,982,414,76,26,14,5,6,2,0,0
q = 0.7,1000,1000,1000,1000,981,931,763,473,214,108,60
q = 0.8,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
q = 0.9,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
q = 1.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
